target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/7148.c,true,40,3 ,test2/ARC002/1/AC/19535399.c::main ,21894 ,[0 1 ],49761 ,[380 186 380 186 380 186 186 ],290,9218,4920,396,3890,2302,253,1335,2
test2/ARC002/1/WA/7224.c,true,40,3 ,test2/ARC002/1/AC/38731688.c::main ,1072 ,[0 1 ],50196 ,[380 380 380 186 186 186 186 ],489,12258,4983,384,6877,4514,243,2120,2
test2/ARC002/1/WA/7241.c,true,40,3 ,test2/ARC002/1/AC/8787461.c::main ,41810 ,[0 2 ],49160 ,[221 ],39,14044,5176,455,8400,7768,268,364,2
test2/ARC002/1/WA/7264.c,true,40,1 ,test2/ARC002/1/AC/79264.c::main ,11930 ,[0 0 ],49345 ,[221 381 ],129,15471,5158,445,9855,8904,249,702,2
test2/ARC002/1/WA/7429.c,true,40,3 ,test2/ARC002/1/AC/1989411.c::main ,29417 ,[0 2 ],49119 ,[380 380 380 186 186 ],54,13825,5051,395,8365,7758,239,368,2
test2/ARC002/1/WA/7459.c,true,40,3 ,test2/ARC002/1/AC/7776.c::main ,14591 ,[0 1 ],49126 ,[381 381 ],38,16296,5161,495,10625,10008,267,350,2
test2/ARC002/1/WA/7555.c,true,40,3 ,test2/ARC002/1/AC/1353614.c::main ,33358 ,[0 2 ],49124 ,[186 ],50,14121,4876,403,8828,7783,263,782,2
test2/ARC002/1/WA/7565.c,true,40,2 ,,18446744073709551615 ,[0 3 ],18446744073709551615 ,[],33,32121,5519,474,26101,21518,262,4321,2
test2/ARC002/1/WA/76067.c,true,40,3 ,test2/ARC002/1/AC/7639.c::main ,2877 ,[0 1 ],49361 ,[380 380 380 380 380 380 186 186 186 186 ],121,11735,4801,402,6518,5595,272,651,2
test2/ARC002/1/WA/76068.c,true,40,3 ,test2/ARC002/1/AC/4077357.c::main ,14556 ,[0 1 ],49086 ,[380 380 380 186 186 ],47,11595,4977,406,6200,5589,259,352,2
