target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/7148.c,true,40,3 ,test2/ARC002/1/AC/7308.c::main ,9479 ,[0 1 ],49502 ,[380 186 380 186 380 186 186 ],180,8772,5009,416,3336,2262,218,856,1
test2/ARC002/1/WA/7224.c,true,40,3 ,test2/ARC002/1/AC/7758.c::main ,26034 ,[0 1 ],49342 ,[380 380 186 380 186 186 ],158,10944,5083,397,5452,4450,227,775,1
test2/ARC002/1/WA/7241.c,true,40,3 ,test2/ARC002/1/AC/45952475.c::main ,10417 ,[0 2 ],49103 ,[380 380 ],32,13566,4907,428,8218,7707,229,282,1
test2/ARC002/1/WA/7264.c,true,40,3 ,test2/ARC002/1/AC/2118495.c::main ,11732 ,[0 0 ],49120 ,[221 381 ],46,14890,4967,439,9472,8905,263,304,1
test2/ARC002/1/WA/7429.c,true,40,3 ,test2/ARC002/1/AC/1569158.c::main ,45120 ,[0 2 ],49847 ,[380 186 380 186 380 186 186 ],326,14727,4920,398,9395,7722,250,1423,1
test2/ARC002/1/WA/7459.c,true,40,2 ,,18446744073709551615 ,[0 1 ],18446744073709551615 ,[],35,16095,5116,469,10497,9920,250,327,1
test2/ARC002/1/WA/7555.c,true,40,3 ,test2/ARC002/1/AC/32236.c::main ,10624 ,[0 1 ],49158 ,[186 380 380 380 ],60,14373,5176,411,8768,7724,260,784,1
test2/ARC002/1/WA/7565.c,true,40,2 ,,18446744073709551615 ,[0 3 ],18446744073709551615 ,[],37,28497,5163,482,22817,21451,311,1055,1
test2/ARC002/1/WA/76067.c,true,40,3 ,test2/ARC002/1/AC/32486.c::main ,9160 ,[0 1 ],49482 ,[186 380 380 380 ],208,15719,4826,397,10474,5551,242,4681,1
test2/ARC002/1/WA/76068.c,true,40,3 ,test2/ARC002/1/AC/7240.c::main ,8123 ,[0 1 1 0 ],49226 ,[380 380 186 186 186 ],73,11977,5291,420,6255,5526,249,480,1
test2/ARC002/1/WA/76070.c,true,40,3 ,test2/ARC002/1/AC/7150.c::main ,34295 ,[0 1 ],49869 ,[380 380 380 186 186 ],246,19073,5009,428,13602,7703,284,5615,1
test2/ARC002/1/WA/7671.c,true,40,3 ,test2/ARC002/1/AC/7176.c::main ,43519 ,[0 1 ],49489 ,[380 380 380 186 186 186 186 ],200,12079,4880,416,6770,5537,232,1001,1
test2/ARC002/1/WA/7698.c,true,40,3 ,test2/ARC002/1/AC/4589255.c::main ,14849 ,[0 2 ],49252 ,[380 186 380 186 380 186 186 ],98,13861,4945,387,8517,7705,221,591,1
test2/ARC002/1/WA/7713.c,true,40,3 ,test2/ARC002/1/AC/17925.c::main ,8880 ,[0 1 ],49709 ,[380 380 380 302 302 ],278,15607,5025,407,10161,5551,260,4350,1
test2/ARC002/1/WA/7718.c,true,40,3 3 ,test2/ARC002/1/AC/959262.c::main test2/ARC002/1/AC/8787461.c::main ,4307 41429 ,[0 1 ][0 2 ],51355 52630 ,[221 380 ][380 380 186 380 186 186 186 ],1426,18514,4935,435,13118,4445,514,8159,1
test2/ARC002/1/WA/77410.c,true,40,3 3 ,test2/ARC002/1/AC/20269.c::main test2/ARC002/1/AC/383449.c::main ,24142 19520 ,[0 4 ][0 5 ],51218 53938 ,[129 ][382 382 382 186 186 186 186 ],1985,27848,5153,474,22187,10000,459,11728,1
test2/ARC002/1/WA/77411.c,true,40,3 ,test2/ARC002/1/AC/17927.c::main ,14518 ,[0 4 0 0 ],52187 ,[302 ],1339,28786,4829,477,23443,9996,530,12917,1
test2/ARC002/1/WA/7883.c,true,40,3 ,test2/ARC002/1/AC/22147693.c::main ,42986 ,[0 2 ],49270 ,[380 186 380 186 380 186 186 ],102,17374,4868,381,12110,7690,219,4201,1
