target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC266/A/WA/34683285.c,0.1,false,test/ABC270/A/AC/35094196.c::main,1000,65345,22498,8307,34399,0
test/ABC266/A/WA/34884528.c,0.1,false,test/ABC266/A/AC/34436369.c::main,1000,71027,22426,8629,39844,0
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC266/A/AC/34367374.c::main,1000,125763,22381,8502,94741,0
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC270/A/AC/35252404.c::main,1000,64593,22207,8103,34140,0
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC267/A/AC/34543026.c::main,1000,133328,22107,8250,102836,0
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC270/A/AC/35100686.c::main_logic,97,101655,22367,8589,70549,0
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC270/A/AC/35129661.c::main,1000,149338,22390,8411,118332,0
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC267/A/AC/34537443.c::main,1000,112665,22428,9140,80961,0
test/ABC267/A/WA/34565403.c,0.1,true,test/ABC267/A/AC/35463333.c::main,863,125226,22247,8492,94270,0
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/35004028.c::main,363,112493,21944,8348,82070,0
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC267/A/AC/34542394.c::main,1000,139575,22282,8542,108619,0
test/ABC267/A/WA/34683954.c,0.1,false,test/ABC267/A/AC/34541252.c::main,1000,152947,22214,8490,122086,0
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC267/A/AC/34685188.c::main,1000,103676,22047,8208,73277,0
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC267/A/AC/34670536.c::main,40,80250,22174,8542,49400,0
test/ABC267/A/WA/35033785.c,0.1,false,test/ABC270/A/AC/35119733.c::main,1000,169086,22319,8707,137914,0
test/ABC267/A/WA/35531401.c,0.1,false,test/ABC270/A/AC/35380208.c::main,1000,104450,22169,8709,73406,0
test/ABC268/A/WA/34733903.c,0.1,false,test/ABC267/A/AC/34630634.c::main,1000,158553,22158,8434,127800,0
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC270/A/AC/35417682.c::main,1000,66218,22544,8730,34712,0
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC270/A/AC/35380208.c::main,1000,114657,22473,8428,83595,0
test/ABC268/A/WA/34751176.c,0.1,true,test/ABC270/A/AC/35226755.c::main,398,107402,22215,8448,76600,0
test/ABC268/A/WA/34751535.c,0.1,true,test/ABC268/A/AC/35584838.c::five,774,110998,22226,8708,79926,0
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC270/A/AC/35138353.c::main,1000,135115,22745,8394,103828,0
